x,y,demand
100,20,5
110,20,5
113,20,9
118,20,7
120,20,3
129,20,1
131,20,2
134,20,4
149,20,4
151,20,8
157,20,3
164,20,9
166,20,4
169,20,6
183,20,4
191,20,3
199,20,4
200,20,4
218,20,1
225,20,1
233,20,7
234,20,8
238,20,7
242,20,1
244,20,7
249,20,8
252,20,9
255,20,10
272,20,2
277,20,7
279,20,8
282,20,1
283,20,1
295,20,10
299,20,9
3,21,1
5,21,5
13,21,10
17,21,5
18,21,6
25,21,8
32,21,4
36,21,1
44,21,5
50,21,1
59,21,8
60,21,9
61,21,5
62,21,4
66,21,10
73,21,7
77,21,3
83,21,4
86,21,7
105,21,2
111,21,10
112,21,2
114,21,1
117,21,1
125,21,6
126,21,9
133,21,1
137,21,4
141,21,5
145,21,6
147,21,2
158,21,9
163,21,4
166,21,4
170,21,3
176,21,4
196,21,10
197,21,1
210,21,1
213,21,5
215,21,10
226,21,1
235,21,10
242,21,3
249,21,1
252,21,1
253,21,10
254,21,1
267,21,7
274,21,1
282,21,9
286,21,9
287,21,3
289,21,1
290,21,7
297,21,6
1,22,5
38,22,1
40,22,7
45,22,3
53,22,3
65,22,7
72,22,3
74,22,1
93,22,2
94,22,1
114,22,4
134,22,7
135,22,7
136,22,10
138,22,2
146,22,2
152,22,9
159,22,5
184,22,3
196,22,7
198,22,4
201,22,7
204,22,5
211,22,6
213,22,6
229,22,10
239,22,6
245,22,8
252,22,7
278,22,6
282,22,8
285,22,5
299,22,2
9,23,2
20,23,2
25,23,4
34,23,7
36,23,8
49,23,2
52,23,6
54,23,1
56,23,6
75,23,1
79,23,8
88,23,1
91,23,7
94,23,5
95,23,1
101,23,3
105,23,7
110,23,10
114,23,8
120,23,7
122,23,7
124,23,5
126,23,10
152,23,2
161,23,9
166,23,2
183,23,8
188,23,9
194,23,1
196,23,10
197,23,1
203,23,9
217,23,2
222,23,2
232,23,9
233,23,9
243,23,8
247,23,1
251,23,4
269,23,7
270,23,9
271,23,10
279,23,4
283,23,10
287,23,6
295,23,8
2,24,9
5,24,7
6,24,3
17,24,8
20,24,3
23,24,8
27,24,6
29,24,10
36,24,3
41,24,1
50,24,3
63,24,8
66,24,5
68,24,4
72,24,2
77,24,3
84,24,8
88,24,10
89,24,3
94,24,6
95,24,7
102,24,2
104,24,3
107,24,10
108,24,5
111,24,5
116,24,2
117,24,7
121,24,1
133,24,10
134,24,4
144,24,6
160,24,8
161,24,5
174,24,6
180,24,3
193,24,1
204,24,4
216,24,7
222,24,10
235,24,1
238,24,9
245,24,5
252,24,1
269,24,7
272,24,7
273,24,2
278,24,6
283,24,9
287,24,8
288,24,10
289,24,4
290,24,1
296,24,7
4,25,1
11,25,5
22,25,8
27,25,5
32,25,4
44,25,1
57,25,10
66,25,6
73,25,1
80,25,6
83,25,5
100,25,3
106,25,1
110,25,2
117,25,6
138,25,2
146,25,5
149,25,6
154,25,4
156,25,7
159,25,3
171,25,8
173,25,10
187,25,8
215,25,8
220,25,3
222,25,4
236,25,5
242,25,5
247,25,7
248,25,10
252,25,4
259,25,3
266,25,2
268,25,10
272,25,2
277,25,2
280,25,1
286,25,8
290,25,10
0,26,7
3,26,9
6,26,9
7,26,4
12,26,5
14,26,1
20,26,9
25,26,5
32,26,5
34,26,10
39,26,1
42,26,6
45,26,4
49,26,4
51,26,1
56,26,4
67,26,1
71,26,9
76,26,7
78,26,4
83,26,8
88,26,3
98,26,2
101,26,10
108,26,5
139,26,5
143,26,5
155,26,3
157,26,6
163,26,7
168,26,7
176,26,6
180,26,8
184,26,6
190,26,2
206,26,9
222,26,9
225,26,5
227,26,5
230,26,9
232,26,7
238,26,2
239,26,1
284,26,4
292,26,2
3,27,1
8,27,3
30,27,8
40,27,3
41,27,6
55,27,10
56,27,4
58,27,10
60,27,4
62,27,5
73,27,7
95,27,5
99,27,4
117,27,6
119,27,1
123,27,5
124,27,10
133,27,8
161,27,4
165,27,10
168,27,5
174,27,3
185,27,8
191,27,4
192,27,3
196,27,4
206,27,6
207,27,8
208,27,3
211,27,1
221,27,7
225,27,6
245,27,6
249,27,7
251,27,9
257,27,8
258,27,10
262,27,10
263,27,4
273,27,1
278,27,9
279,27,10
282,27,3
284,27,7
285,27,5
294,27,7
2,28,2
7,28,2
29,28,3
32,28,3
38,28,5
42,28,1
57,28,1
62,28,7
73,28,5
81,28,6
86,28,10
95,28,3
101,28,1
108,28,3
129,28,7
150,28,10
160,28,7
163,28,4
165,28,3
169,28,10
186,28,1
203,28,5
207,28,4
234,28,1
238,28,9
243,28,6
262,28,5
263,28,1
264,28,9
266,28,9
271,28,4
274,28,2
280,28,9
282,28,8
4,29,4
8,29,3
12,29,1
19,29,7
22,29,2
33,29,8
39,29,7
74,29,1
75,29,8
77,29,2
78,29,1
79,29,2
85,29,2
96,29,7
99,29,8
124,29,2
136,29,4
144,29,7
150,29,8
160,29,6
162,29,9
166,29,8
174,29,2
180,29,1
188,29,6
190,29,3
195,29,7
202,29,2
208,29,7
219,29,4
220,29,7
223,29,1
228,29,6
229,29,1
230,29,3
253,29,7
255,29,2
260,29,2
263,29,8
271,29,4
272,29,8
274,29,8
275,29,6
287,29,8
292,29,9
298,29,1
3,30,3
7,30,2
20,30,2
22,30,2
23,30,5
64,30,3
77,30,2
92,30,3
100,30,9
101,30,10
110,30,1
115,30,6
122,30,6
127,30,2
136,30,5
140,30,1
147,30,10
153,30,2
160,30,10
167,30,2
170,30,8
172,30,5
178,30,7
180,30,6
201,30,5
222,30,2
231,30,7
252,30,7
271,30,9
285,30,3
288,30,3
294,30,1
295,30,10
0,31,1
10,31,9
18,31,9
30,31,5
36,31,5
39,31,6
41,31,3
44,31,4
58,31,2
61,31,8
83,31,1
86,31,5
94,31,6
97,31,4
110,31,9
118,31,7
142,31,6
164,31,9
165,31,7
168,31,4
169,31,8
175,31,7
180,31,2
183,31,2
187,31,7
188,31,9
193,31,5
197,31,2
200,31,2
202,31,9
207,31,4
215,31,5
233,31,6
243,31,5
249,31,9
257,31,4
277,31,5
284,31,3
298,31,2
0,32,9
5,32,5
7,32,3
19,32,6
20,32,7
23,32,2
30,32,4
34,32,9
36,32,9
37,32,2
50,32,3
51,32,3
67,32,3
79,32,8
82,32,2
89,32,4
90,32,3
102,32,4
103,32,10
109,32,3
115,32,9
129,32,7
147,32,10
150,32,8
164,32,7
167,32,4
178,32,4
179,32,3
180,32,2
181,32,9
183,32,1
184,32,10
185,32,6
197,32,5
204,32,10
209,32,7
212,32,5
213,32,2
214,32,5
220,32,2
222,32,4
224,32,3
231,32,7
240,32,3
242,32,4
246,32,3
252,32,3
259,32,4
263,32,5
278,32,7
281,32,7
282,32,2
286,32,4
1,33,1
2,33,10
25,33,5
26,33,6
39,33,6
41,33,2
42,33,7
48,33,2
59,33,3
81,33,9
84,33,3
94,33,10
96,33,7
99,33,3
104,33,8
114,33,9
115,33,7
118,33,4
129,33,10
139,33,9
142,33,3
144,33,6
160,33,3
161,33,9
168,33,7
172,33,7
198,33,9
207,33,10
214,33,4
220,33,10
221,33,8
222,33,1
223,33,8
234,33,4
235,33,5
254,33,2
264,33,4
265,33,9
268,33,5
282,33,4
284,33,8
294,33,10
296,33,3
297,33,6
4,34,6
8,34,2
14,34,7
17,34,2
20,34,8
24,34,6
34,34,10
50,34,5
52,34,10
56,34,1
63,34,3
69,34,10
70,34,7
75,34,4
84,34,6
86,34,8
93,34,5
98,34,6
105,34,4
106,34,10
114,34,7
127,34,7
137,34,1
145,34,10
149,34,1
150,34,1
152,34,2
154,34,1
163,34,9
175,34,5
183,34,7
186,34,2
190,34,2
193,34,10
195,34,10
200,34,1
201,34,2
217,34,2
219,34,1
220,34,4
229,34,3
233,34,1
234,34,10
236,34,8
238,34,4
246,34,8
252,34,4
257,34,10
258,34,4
264,34,3
265,34,8
277,34,4
282,34,10
285,34,7
295,34,8
0,35,3
1,35,3
9,35,8
27,35,9
36,35,9
44,35,7
47,35,4
53,35,10
58,35,5
69,35,4
72,35,8
77,35,8
91,35,8
94,35,3
108,35,8
117,35,5
120,35,7
121,35,4
122,35,6
127,35,4
128,35,2
130,35,8
136,35,3
138,35,3
150,35,7
160,35,6
163,35,1
176,35,4
188,35,6
201,35,7
208,35,10
210,35,2
211,35,3
212,35,3
218,35,10
224,35,5
234,35,6
260,35,10
261,35,2
262,35,5
268,35,1
269,35,9
273,35,7
276,35,2
286,35,5
291,35,8
7,36,7
20,36,5
33,36,2
35,36,9
36,36,9
42,36,8
48,36,4
52,36,10
53,36,9
54,36,8
55,36,7
56,36,8
70,36,4
72,36,1
75,36,6
79,36,6
114,36,8
122,36,7
126,36,8
130,36,7
132,36,7
137,36,1
146,36,8
149,36,9
158,36,8
162,36,9
164,36,8
168,36,5
177,36,7
202,36,3
205,36,5
210,36,1
211,36,2
226,36,4
238,36,9
241,36,7
245,36,2
248,36,2
257,36,7
267,36,8
271,36,4
275,36,10
280,36,6
281,36,4
295,36,3
6,37,3
8,37,2
9,37,7
21,37,4
22,37,5
26,37,5
28,37,4
30,37,5
31,37,4
46,37,9
48,37,8
52,37,8
53,37,5
68,37,2
77,37,10
84,37,8
88,37,1
96,37,6
102,37,4
103,37,5
112,37,1
125,37,10
136,37,5
137,37,6
138,37,4
145,37,7
162,37,3
163,37,10
164,37,10
165,37,3
168,37,6
172,37,6
174,37,1
176,37,9
177,37,5
178,37,9
181,37,2
200,37,8
202,37,1
203,37,9
232,37,10
234,37,7
235,37,5
237,37,3
250,37,1
256,37,6
261,37,5
262,37,7
273,37,2
275,37,10
277,37,6
288,37,3
297,37,3
17,38,5
26,38,10
36,38,4
43,38,8
53,38,9
66,38,4
76,38,10
80,38,9
82,38,9
86,38,4
96,38,5
97,38,5
99,38,7
110,38,5
111,38,3
115,38,8
119,38,9
124,38,3
130,38,9
144,38,5
155,38,2
157,38,1
161,38,9
181,38,10
184,38,4
211,38,3
218,38,3
219,38,8
221,38,8
235,38,8
243,38,3
254,38,2
258,38,3
274,38,10
275,38,10
276,38,6
286,38,10
3,39,6
9,39,6
15,39,1
22,39,4
26,39,6
40,39,2
43,39,2
44,39,10
51,39,1
64,39,7
66,39,4
73,39,10
78,39,8
86,39,9
91,39,8
95,39,3
97,39,10
102,39,10
111,39,4
117,39,3
118,39,7
126,39,6
133,39,1
141,39,8
153,39,9
154,39,5
161,39,4
169,39,9
179,39,6
186,39,7
189,39,3
192,39,9
208,39,2
209,39,5
218,39,2
221,39,8
234,39,8
240,39,7
244,39,8
247,39,5
261,39,5
266,39,3
269,39,3
276,39,9
278,39,8
283,39,4
284,39,2
294,39,2
0,40,10
6,40,9
7,40,10
16,40,3
20,40,7
22,40,2
23,40,1
30,40,8
31,40,9
47,40,3
51,40,2
54,40,4
57,40,7
66,40,10
69,40,9
71,40,1
86,40,9
93,40,8
97,40,5
117,40,1
127,40,10
131,40,5
138,40,10
153,40,1
162,40,5
166,40,2
171,40,4
172,40,9
178,40,10
199,40,5
201,40,7
205,40,2
215,40,1
217,40,1
220,40,8
221,40,5
234,40,8
242,40,10
253,40,6
256,40,5
258,40,8
259,40,2
264,40,10
266,40,4
270,40,8
272,40,3
274,40,1
283,40,3
287,40,5
288,40,5
290,40,7
293,40,7
6,41,10
14,41,4
19,41,6
23,41,1
24,41,10
33,41,10
36,41,2
43,41,3
45,41,7
54,41,2
60,41,6
63,41,2
76,41,7
81,41,1
83,41,1
84,41,3
97,41,3
104,41,10
110,41,7
111,41,1
113,41,6
115,41,3
116,41,5
120,41,10
124,41,6
135,41,8
136,41,2
148,41,10
155,41,1
160,41,4
161,41,4
163,41,8
187,41,1
194,41,3
199,41,1
220,41,5
223,41,6
227,41,6
228,41,3
230,41,7
233,41,5
235,41,6
239,41,6
250,41,5
251,41,8
253,41,9
261,41,1
268,41,10
272,41,7
278,41,7
289,41,7
293,41,3
7,42,7
12,42,6
33,42,10
41,42,4
55,42,7
62,42,3
80,42,1
84,42,7
85,42,1
86,42,3
88,42,3
90,42,3
91,42,6
95,42,8
104,42,3
106,42,8
107,42,4
112,42,8
115,42,2
122,42,6
126,42,3
128,42,10
135,42,3
140,42,10
145,42,9
159,42,6
172,42,7
176,42,4
185,42,9
201,42,10
203,42,3
205,42,8
210,42,2
217,42,10
223,42,1
231,42,6
234,42,2
239,42,6
242,42,6
249,42,1
251,42,4
252,42,5
255,42,5
268,42,1
273,42,3
277,42,2
296,42,1
13,43,2
19,43,6
20,43,8
36,43,8
38,43,2
40,43,7
43,43,10
45,43,9
52,43,5
57,43,9
65,43,2
82,43,9
93,43,10
116,43,10
125,43,10
126,43,10
131,43,10
136,43,4
146,43,2
149,43,9
163,43,2
166,43,10
175,43,5
182,43,2
198,43,10
202,43,6
209,43,4
223,43,3
227,43,5
241,43,2
255,43,4
285,43,9
4,44,8
10,44,4
11,44,8
19,44,3
23,44,1
24,44,10
26,44,8
28,44,6
31,44,2
34,44,5
35,44,4
40,44,1
47,44,8
52,44,6
56,44,3
72,44,9
84,44,8
99,44,7
116,44,10
132,44,4
140,44,2
141,44,6
149,44,4
157,44,3
158,44,3
160,44,7
166,44,3
169,44,3
172,44,6
183,44,7
185,44,2
195,44,6
207,44,6
214,44,7
217,44,2
219,44,2
223,44,5
226,44,4
237,44,3
244,44,1
251,44,5
265,44,2
267,44,3
276,44,5
284,44,7
289,44,6
4,45,9
5,45,4
21,45,3
26,45,8
37,45,4
41,45,3
50,45,5
56,45,6
58,45,6
73,45,1
92,45,4
103,45,1
108,45,4
111,45,7
115,45,9
121,45,9
123,45,7
125,45,7
126,45,10
128,45,7
132,45,10
134,45,8
150,45,3
167,45,8
169,45,1
171,45,10
205,45,4
208,45,3
212,45,3
219,45,9
231,45,10
243,45,5
244,45,6
245,45,10
252,45,9
258,45,2
272,45,3
285,45,8
289,45,9
291,45,2
293,45,5
33,46,4
51,46,7
54,46,1
55,46,2
57,46,9
59,46,9
64,46,10
91,46,4
92,46,5
95,46,4
96,46,3
109,46,5
119,46,6
124,46,2
126,46,10
136,46,3
137,46,6
141,46,8
150,46,6
151,46,9
153,46,8
157,46,1
158,46,6
162,46,5
164,46,8
165,46,1
177,46,8
195,46,3
197,46,9
205,46,7
215,46,7
216,46,10
220,46,10
222,46,2
240,46,1
246,46,7
264,46,5
269,46,4
279,46,4
283,46,9
284,46,10
285,46,10
294,46,3
295,46,3
298,46,4
299,46,2
0,47,10
3,47,6
17,47,1
25,47,8
26,47,10
30,47,1
31,47,7
35,47,4
36,47,6
46,47,5
51,47,4
52,47,3
54,47,2
61,47,10
69,47,5
76,47,9
89,47,7
110,47,7
121,47,6
123,47,3
131,47,6
132,47,10
150,47,3
154,47,8
168,47,1
169,47,8
179,47,2
184,47,9
187,47,10
207,47,8
208,47,1
216,47,4
237,47,10
238,47,10
241,47,3
245,47,8
246,47,10
257,47,6
270,47,5
281,47,6
285,47,8
289,47,5
294,47,1
1,48,8
9,48,10
11,48,4
18,48,1
19,48,10
34,48,1
47,48,9
48,48,8
58,48,8
78,48,9
96,48,7
105,48,3
115,48,5
116,48,2
126,48,1
132,48,4
133,48,1
142,48,6
147,48,2
151,48,1
157,48,1
161,48,10
163,48,8
170,48,6
173,48,6
176,48,7
179,48,4
200,48,4
202,48,1
214,48,4
217,48,6
222,48,4
223,48,10
228,48,5
239,48,2
241,48,4
242,48,1
249,48,10
255,48,8
268,48,4
272,48,7
282,48,7
290,48,10
291,48,5
0,49,7
6,49,7
9,49,9
18,49,10
23,49,3
29,49,9
36,49,10
42,49,1
48,49,8
52,49,7
65,49,3
77,49,9
81,49,2
83,49,3
87,49,4
109,49,3
132,49,1
147,49,9
189,49,6
192,49,9
204,49,6
216,49,10
225,49,10
234,49,8
235,49,7
237,49,2
240,49,1
247,49,6
258,49,5
260,49,2
262,49,8
263,49,10
264,49,4
266,49,6
269,49,5
270,49,9
272,49,5
281,49,10
286,49,1
1,50,2
35,50,5
36,50,4
38,50,10
39,50,2
40,50,100
51,50,8
62,50,7
63,50,2
66,50,7
79,50,5
90,50,6
93,50,9
109,50,2
110,50,100
120,50,7
129,50,7
140,50,8
151,50,8
158,50,3
162,50,2
169,50,9
171,50,8
174,50,10
175,50,9
178,50,2
184,50,3
187,50,9
188,50,10
192,50,1
194,50,3
203,50,1
207,50,7
209,50,3
218,50,10
219,50,3
226,50,7
